Title,Price,Address,Beds
"AMLI 900, Chicago, IL","$1,553","900 S Clark St, Chicago, IL 60605",Studio - 3 Bed
"1000 South Clark, Chicago, IL","$1,650","1000 S Clark St., Chicago, IL 60605",Studio - 3 Bed
"Echelon Chicago, Chicago, IL","$1,704","353 N Desplaines St, Chicago, IL 60661",Studio - 2 Bed
"215 West Apartments, Chicago, IL","$1,785","215 W Washington St, Chicago, IL 60606",Studio - 3 Bed
"Left Bank, Chicago, IL","$1,779","300 N Canal St, Chicago, IL 60606",Studio - 3 Bed
"Astoria Tower, Chicago, IL","$1,549","8 E 9th St, Chicago, IL 60605",Studio - 2 Bed
"Randolph Tower City Apartments, Chicago, IL","$1,565","188 W Randolph St, Chicago, IL 60601",Studio - 2 Bed
"Wolf Point East, Chicago, IL","$1,880","313 W Wolf Point Plz, Chicago, IL 60654",Studio - 3 Bed
Infinite Chicago,$869,"28 E Jackson Blvd, Chicago, IL 60604",Studio - 4 Bed
"Park Michigan - 1212 S Michigan Ave, Chicago, IL","$1,420","1212 S Michigan Ave, Chicago, IL 60605",Studio - 2 Bed
"The Alfred, Chicago, IL","$1,710","30 E Adams St, Chicago, IL 60603",Studio - 2 Bed
"SKY55, Chicago, IL","$1,995","1255 S Michigan Ave, Chicago, IL 60605",1-2 Bed
"1251 S Michigan - Senior Living, Chicago, IL",$705,"1251 S Michigan Ave, Chicago, IL 60605",Studio - 1 Bed
"OneEleven, Chicago, IL","$1,823","111 W Wacker Dr, Chicago, IL 60601",Studio - 3 Bed
"City Gardens - No Apartments Available, Chicago, IL",$895,"312 S Maplewood Ct, Chicago, IL 60612",1 Bed
"Mondial River West, Chicago, IL","$1,850","910 W Huron St, Chicago, IL 60642",Studio - 4 Bed
"Parc Huron, Chicago, IL","$2,196","469 W Huron St, Chicago, IL 60654",1-3 Bed
"Millennium Park Plaza, Chicago, IL","$1,695","151-155 N Michigan Ave, Chicago, IL 60601",Studio - 3 Bed
"The Hudson, Chicago, IL","$2,125","750 N Hudson Ave, Chicago, IL 60654",1-3 Bed
"640 North Wells, Chicago, IL","$2,310","640 N Wells St, Chicago, IL 60654",Studio - 3 Bed
"The Gallery on Wells, Chicago, IL","$1,561","167 W Erie St, Chicago, IL 60654",Studio - 3 Bed
"The Ardus, Chicago, IL","$1,535","676 N La Salle Dr, Chicago, IL 60654",Studio - 1 Bed
"State and Grand, Chicago, IL","$1,940","505 N State St, Chicago, IL 60654",1-3 Bed
"Exhibit on Superior, Chicago, IL","$1,651","165 W Superior St, Chicago, IL 60654",Studio - 3 Bed
"Gramercy Row Apartments, Chicago, IL","$1,080","658-662 N Dearborn St, Chicago, IL 60654",Studio - 2 Bed
"west77, Chicago, IL","$1,535","77 W Huron, Chicago, IL 60654",Studio - 4 Bed
"NEXT Apartments, Chicago, IL","$1,633","347 W Chestnut St, Chicago, IL 60610",Studio - 3 Bed
"The Bush Temple, Chicago, IL","$1,450","108 W Chicago Ave, Chicago, IL 60654",Studio - 2 Bed
"Niche 905, Chicago, IL","$2,036","905 N Orleans St, Chicago, IL 60610",Studio - 3 Bed
"Residences at 8 East Huron, Chicago, IL","$2,427","8 E Huron St, Chicago, IL 60611",1-3 Bed
"100 West Chestnut Apartments, Chicago, IL","$1,774","100 W Chestnut St, Chicago, IL 60610",1-2 Bed
"55 W. Chestnut, Chicago, IL","$1,652","55 W Chestnut St, Chicago, IL 60610",1 Bed
"The Bernardin, Chicago, IL","$2,039","747 N Wabash Ave, Chicago, IL 60611",Studio - 2 Bed
"465 North Park, Chicago, IL","$1,952","465 N Park Dr, Chicago, IL 60611",Studio - 3 Bed
"The Chicagoan, CHICAGO, IL","$1,978","750 N RUSH St, CHICAGO, IL 60611",1-2 Bed
"Two West, Chicago, IL","$3,635","2 W Delaware Pl, Chicago, IL 60610",1-5 Bed
"TWO Old Town Park, Chicago, IL","$2,073","202 W Hill St, Chicago, IL 60610",Studio - 3 Bed
"Atrium at Old Town Park, Chicago, IL","$1,417","303 W Division St, Chicago, IL 60610",Studio - 2 Bed
"McClurg Court, Chicago, IL","$1,485","333 E Ontario St, Chicago, IL 60611",Studio - 2 Bed
"Dearborn Plaza, Chicago, IL",$965,"1030 N Dearborn St, Chicago, IL 60610",Studio
"1100 N Dearborn, Chicago, IL","$1,360","1100 N Dearborn St, Chicago, IL 60610",Studio - 2 Bed
"1111 N. Dearborn, Chicago, IL","$1,491","1111 N Dearborn Ave, Chicago, IL 60610",Studio - 3 Bed
"Dearborn North, Chicago, IL","$1,100","1117 N Dearborn St, Chicago, IL 60610",Studio - 1 Bed
"The Chatelaine, Chicago, IL","$2,000","215 E Chestnut St, Chicago, IL 60611",1-4 Bed
"1225 Old Town, Chicago, IL",Call for Rent,"1225 N Wells St, Chicago, IL 60610",Studio - 3 Bed
"Park Dearborn, Chicago, IL","$1,195","1260 N Dearborn St, Chicago, IL 60610",Studio - 1 Bed
"Reside on Jackson, Chicago, IL","$2,145","1241 W Jackson Blvd, Chicago, IL 60607",1-3 Bed
