Title,Price,Address,Beds,Neighborhood,Latitude,Longitude
"Columbus Plaza, Chicago, IL","$1,568","233 E Wacker Dr, Chicago, IL 60601",Studio - 2 Bed,Chicago Loop,41.8876107,-87.62121739999999
"10 E. Ontario St., Chicago, IL","$1,975","10 E Ontario St, Chicago, IL 60611",Studio - 2 Bed,River North,41.8935802,-87.6274222
"Asbury Plaza, Chicago, IL","$1,622","750 N Dearborn St, Chicago, IL 60654",Studio - 2 Bed,River North,41.8962865,-87.63028369999999
"Chestnut Tower, Chicago, IL","$1,804","121 W Chestnut St, Chicago, IL 60610",Studio - 3 Bed,Near North,41.8974162,-87.6324468
"Chestnut Row Homes, Chicago, IL","$15,000","111 W Chestnut St, Chicago, IL 60610",4 Bed,Near North,41.8978504,-87.63188339999999
"North Harbor Tower, Chicago, IL","$1,515","175 N Harbor Dr, Chicago, IL 60601",Studio - 3 Bed,Chicago Loop,41.885437,-87.6154715
"State &amp; Chestnut, Chicago, IL","$1,960","845 N State St, Chicago, IL 60610",Studio - 2 Bed,Rush & Division,41.89811210000001,-87.6279069
"The Streeter, Chicago, IL","$1,637","345 E Ohio St, Chicago, IL 60611",Studio - 3 Bed,Streeterville,41.8921031,-87.6191022
"Sienna, Chicago, IL","$2,200","423 W Ohio St, Chicago, IL 60611",1-2 Bed,River North,41.8920809,-87.639623
"1120 N. LaSalle, Chicago, IL","$1,458","1120 LaSalle Dr, Chicago, IL 60610",Studio - 2 Bed,Near North,41.90253939999999,-87.6331263
"ONE Old Town Park, Chicago, IL","$1,690","1140 N Wells St, Chicago, IL 60610",Studio - 3 Bed,Near North,41.903233,-87.63487099999999
"The Oliver on LaSalle, Chicago, IL","$1,100","1140 N Lasalle St, Chicago, IL 60610",Studio - 1 Bed,Near North,41.9032161,-87.63363629999999
"Elm Street Plaza, Chicago, IL","$1,545","1130 N Dearborn St, Chicago, IL 60610",Studio - 2 Bed,Rush & Division,41.90291269999999,-87.6302443
"The Scott Residences, Chicago, IL","$2,065","211 W Scott St, Chicago, IL 60610",Studio - 3 Bed,Near North Side,41.9047802,-87.63504789999999
"The Clark, Chicago, IL","$1,700","1201 N Clark St, Chicago, IL 60610",Studio - 2 Bed,Gold Coast,41.9041674,-87.6309337
"1325 N. Wells, Chicago, IL","$2,295","1325 N Wells St, Chicago, IL 60610",1-2 Bed,Near North Side,41.9065029,-87.6342004
"Canterbury Court Apartments, Chicago, IL","$1,200","1220 N State Pky, Chicago, IL 60610",Studio - 1 Bed,Gold Coast,41.9044988,-87.6291452
"1435 North Wells, Chicago, IL","$1,756","1435-1443 N Wells St, Chicago, IL 60610",Studio - 2 Bed,Near North Side,41.9087129,-87.63434939999999
"Astor House, Chicago, IL",Call for Rent,"1340 N Astor St, Chicago, IL 60610",1-2 Bed,Gold Coast,41.9069457,-87.6284328
"1518 W Chicago Ave Unit 3, Chicago, IL","$2,799","1518 W Chicago Ave Unit 3, Chicago, IL",2 Bed,Pulaski Park,41.8962926,-87.6656488
"1846 Superior W St Unit 2, Chicago, IL","$1,950","1846 Superior W St Unit 2, Chicago, IL",Condo for Rent,West Town,41.89522960000001,-87.67394999999999
"2024 W Huron St Unit 2nd floor, Chicago, IL","$2,300","2024 W Huron St Unit 2nd floor, Chicago, IL",3 Bed,West Town,41.8942568,-87.6780496
"1375 Milwaukee N Ave Unit 2R, Chicago, IL","$2,700","1375 Milwaukee N Ave Unit 2R, Chicago, IL",Condo for Rent,West Town,41.9069959,-87.6717325
"915 S Loomis St Unit 2, Chicago, IL","$3,000","915 S Loomis St Unit 2, Chicago, IL",5 Bed,Little Italy,41.8698843,-87.66140930000002
"917 S Loomis St Unit 1, Chicago, IL","$3,100","917 S Loomis St Unit 1, Chicago, IL",5 Bed,Little Italy,41.8697775,-87.66139969999999
"900 Ashland S Ave Unit 1, Chicago, IL","$2,667","900 Ashland S Ave Unit 1, Chicago, IL",2 Bed,Near West Side,41.8707911,-87.66693629999999
"1224 W Van Buren St Unit 505, Chicago, IL","$2,300","1224 W Van Buren St Unit 505, Chicago, IL",1 Bed,West Loop,41.8768394,-87.65829629999999
"324 S Racine Ave Unit 2NR, Chicago, IL","$1,995","324 S Racine Ave Unit 2NR, Chicago, IL",1 Bed,West Loop,41.87703279999999,-87.657226
"324 Racine S Ave Unit 1, Chicago, IL","$1,850","324 Racine S Ave Unit 1, Chicago, IL",1 Bed,West Loop,41.87703279999999,-87.657226
"324 S Racine Ave Unit 4S, Chicago, IL","$3,495","324 S Racine Ave Unit 4S, Chicago, IL",3 Bed,West Loop,41.87703279999999,-87.657226
"1035 W Van Buren St Unit 2, Chicago, IL","$2,736","1035 W Van Buren St Unit 2, Chicago, IL",1 Bed,West Loop,41.8763112,-87.6541817
"1002 W Van Buren St Unit 306, Chicago, IL","$3,000","1002 W Van Buren St Unit 306, Chicago, IL",2 Bed,West Loop,41.8768904,-87.65217799999999
"225 Sangamon S St Unit 610, Chicago, IL","$2,750","225 Sangamon S St Unit 610, Chicago, IL",Condo for Rent,West Loop,41.8782265,-87.650432
"1451 S Halsted St Unit 1B, Chicago, IL","$2,700","1451 S Halsted St Unit 1B, Chicago, IL",Condo for Rent,Little Italy,41.8619995,-87.646513
"850 W Adams St Unit 4E, Chicago, IL","$2,225","850 W Adams St Unit 4E, Chicago, IL",1 Bed,West Loop,41.8794457,-87.64919069999999
"1228 W Monroe St Unit 404, Chicago, IL","$2,200","1228 W Monroe St Unit 404, Chicago, IL",1 Bed,West Loop,41.880655,-87.6581142
"1508 W 17th St Unit R2, Chicago, IL","$1,300","1508 W 17th St Unit R2, Chicago, IL",2 Bed,Lower West Side,41.8589399,-87.66419979999999
"700 W Van Buren St Unit 703, Chicago, IL","$2,100","700 W Van Buren St Unit 703, Chicago, IL",1 Bed,West Loop,41.876952,-87.6443047
"6 Laflin S St Unit 307, Chicago, IL","$2,280","6 Laflin S St Unit 307, Chicago, IL",Condo for Rent,West Loop,41.8813293,-87.6645372
"1816 S Peoria St Unit 1, Chicago, IL","$2,000","1816 S Peoria St Unit 1, Chicago, IL",3 Bed,Lower West Side,41.85751279999999,-87.6484952
"1757 17th W St Unit 3, Chicago, IL","$2,040","1757 17th W St Unit 3, Chicago, IL",3 Bed,Lower West Side,41.8583889,-87.6709455
"701 S Wells St Unit 1506, Chicago, IL","$2,435","701 S Wells St Unit 1506, Chicago, IL",2 Bed,Chicago Loop,41.873148,-87.63324999999999
"732 S Financial Pl Unit 507, Chicago, IL","$2,350","732 S Financial Pl Unit 507, Chicago, IL",Condo for Rent,Chicago Loop,41.8724934,-87.63284340000001
"321 S Sangamon St Unit 807, Chicago, IL","$2,100","321 S Sangamon St Unit 807, Chicago, IL",1 Bed,West Loop,41.8770672,-87.6503968
"1753 21st W St Unit 1, Chicago, IL","$1,500","1753 21st W St Unit 1, Chicago, IL",3 Bed,Lower West Side,41.8538633,-87.6706559
"1043 Oakley S Blvd Unit 1, Chicago, IL","$1,650","1043 Oakley S Blvd Unit 1, Chicago, IL",3 Bed,Tri-Taylor,41.86775069999999,-87.6833355
"650 W Wayman St Unit 606C, Chicago, IL","$2,100","650 W Wayman St Unit 606C, Chicago, IL",Condo for Rent,West Loop,41.8875351,-87.6447135
"740 Federal S St Unit 910, Chicago, IL","$2,700","740 Federal S St Unit 910, Chicago, IL",Condo for Rent,Chicago Loop,41.873056,-87.6298857
"1162 Hubbard W St Unit 304, Chicago, IL","$3,300","1162 Hubbard W St Unit 304, Chicago, IL",Condo for Rent,West Town,41.8902009,-87.65702549999999
"836 W Hubbard St Unit 302, Chicago, IL","$1,850","836 W Hubbard St Unit 302, Chicago, IL",1 Bed,West Town,41.890176,-87.6490931
"537 S Dearborn St Unit 10A, Chicago, IL","$2,195","537 S Dearborn St Unit 10A, Chicago, IL",2 Bed,Chicago Loop,41.8749407,-87.6290113
"633 Plymouth S Ct Unit 904, Chicago, IL","$1,775","633 Plymouth S Ct Unit 904, Chicago, IL",Condo for Rent,Chicago Loop,41.8736271,-87.6283718
"235 W Van Buren St Unit 2514, Chicago, IL","$2,540","235 W Van Buren St Unit 2514, Chicago, IL",Condo for Rent,Chicago Loop,41.8765303,-87.6347529
"2442 W Fillmore St Unit 3, Chicago, IL","$1,860","2442 W Fillmore St Unit 3, Chicago, IL",3 Bed,Tri-Taylor,41.8686367,-87.68783169999999
"2442 W Fillmore St Unit Apt 2, Chicago, IL","$1,830","2442 W Fillmore St Unit Apt 2, Chicago, IL",3 Bed,Tri-Taylor,41.8686367,-87.68783169999999
"400 N Clinton St Unit 404, Chicago, IL","$1,995","400 N Clinton St Unit 404, Chicago, IL",1 Bed,West Town,41.8893085,-87.6407456
"731 W Ohio St Unit #3, Chicago, IL","$1,750","731 W Ohio St Unit #3, Chicago, IL",Studio,West Town,41.89212089999999,-87.6470796
"910 S Michigan Ave Unit 1015, Chicago, IL","$2,695","910 S Michigan Ave Unit 1015, Chicago, IL",Condo for Rent,Chicago Loop,41.8701636,-87.6248468
"1250 S Michigan Ave Unit 1002, Chicago, IL","$1,850","1250 S Michigan Ave Unit 1002, Chicago, IL",1 Bed,Near South Side,41.8659823,-87.6243183
"622 Ashland N Ave Unit 3, Chicago, IL","$3,900","622 Ashland N Ave Unit 3, Chicago, IL",Condo for Rent,West Town,41.8931362,-87.6674867
"6 E Monroe St Unit 1401, Chicago, IL","$2,300","6 E Monroe St Unit 1401, Chicago, IL",Condo for Rent,Chicago Loop,41.8809346,-87.6274239
"535 Michigan N Ave Unit 512, Chicago, IL","$1,525","535 Michigan N Ave Unit 512, Chicago, IL",Condo for Rent,Streeterville,41.8919328,-87.62385599999999
"1462 S Michigan Ave Unit 204, Chicago, IL","$2,400","1462 S Michigan Ave Unit 204, Chicago, IL",2 Bed,Near South Side,41.862275,-87.624234
"1464 S Michigan Ave Unit 2407, Chicago, IL","$4,800","1464 S Michigan Ave Unit 2407, Chicago, IL",3 Bed,Near South Side,41.8622613,-87.624234
"1935 Archer S Ave Unit 518, Chicago, IL","$1,750","1935 Archer S Ave Unit 518, Chicago, IL",Condo for Rent,Near South Side,41.85580520000001,-87.62783379999999
"1935 S Archer Ave Unit 423, Chicago, IL","$1,740","1935 S Archer Ave Unit 423, Chicago, IL",Condo for Rent,Near South Side,41.85580520000001,-87.62783379999999
"925 W Huron St Unit 9, Chicago, IL","$2,450","925 W Huron St Unit 9, Chicago, IL",2 Bed,West Town,41.8948876,-87.6510136
"925 W Huron St Unit 509, Chicago, IL","$2,050","925 W Huron St Unit 509, Chicago, IL",1 Bed,West Town,41.8948876,-87.6510136
"925 W Huron St Unit 2, Chicago, IL","$1,950","925 W Huron St Unit 2, Chicago, IL",1 Bed,West Town,41.8948876,-87.6510136
"330 Illinois W St Unit C, Chicago, IL","$1,760","330 Illinois W St Unit C, Chicago, IL",1 Bed,River North,41.8909522,-87.6368916
"330 W Illinois St Unit 1, Chicago, IL","$1,875","330 W Illinois St Unit 1, Chicago, IL",1 Bed,River North,41.8909522,-87.6368916
"330 W Illinois St Unit S, Chicago, IL","$1,555","330 W Illinois St Unit S, Chicago, IL",Studio,River North,41.8909522,-87.6368916
"200 Dearborn N St Unit 4303, Chicago, IL","$1,900","200 Dearborn N St Unit 4303, Chicago, IL",Condo for Rent,Chicago Loop,41.8860644,-87.62989069999999
"200 N Dearborn St Unit 1306, Chicago, IL","$2,795","200 N Dearborn St Unit 1306, Chicago, IL",Condo for Rent,Chicago Loop,41.8860644,-87.62989069999999
"1720 S Michigan Ave Unit 2810, Chicago, IL","$2,450","1720 S Michigan Ave Unit 2810, Chicago, IL",Condo for Rent,Near South Side,41.8586026,-87.6246153
"345 N LaSalle Dr Unit 1803, Chicago, IL","$3,250","345 N LaSalle Dr Unit 1803, Chicago, IL",Condo for Rent,River North,41.8888338,-87.6319165
"330 Grand W Ave Unit 1601, Chicago, IL","$2,950","330 Grand W Ave Unit 1601, Chicago, IL",Condo for Rent,River North,41.8917892,-87.63669329999999
"1702 W Superior St Unit 1, Chicago, IL","$1,700","1702 W Superior St Unit 1, Chicago, IL",3 Bed,West Town,41.8952916,-87.6699198
"375 W Erie St Unit 505, Chicago, IL","$2,200","375 W Erie St Unit 505, Chicago, IL",Condo for Rent,River North,41.89369,-87.639378
"2812 S Grady Ct Unit 2R, Chicago, IL",$800,"2812 S Grady Ct Unit 2R, Chicago, IL",2 Bed,Bridgeport,41.841859,-87.6611034
"2320 23rd W Pl Unit 1, Chicago, IL","$1,650","2320 23rd W Pl Unit 1, Chicago, IL",3 Bed,Heart of Italy,41.84960179999999,-87.68398510000002
"630 N Franklin St Unit 616, Chicago, IL","$1,950","630 N Franklin St Unit 616, Chicago, IL",Condo for Rent,River North,41.8934015,-87.63621499999999
"1345 Walton W St Unit 1, Chicago, IL","$2,100","1345 Walton W St Unit 1, Chicago, IL",3 Bed,Pulaski Park,41.8987251,-87.66132770000002
"835 N Wolcott Ave Unit 4FL, Chicago, IL","$3,600","835 N Wolcott Ave Unit 4FL, Chicago, IL",3 Bed,West Town,41.8970142,-87.67439619999999
"837 N Wolcott Ave Unit 1, Chicago, IL","$3,600","837 N Wolcott Ave Unit 1, Chicago, IL",3 Bed,West Town,41.8970211,-87.6743879
"848 N Winchester Ave Unit Garden, Chicago, IL","$2,200","848 N Winchester Ave Unit Garden, Chicago, IL",2 Bed,West Town,41.8973602,-87.67612729999999
"222 Columbus N Dr Unit 2105, Chicago, IL","$2,600","222 Columbus N Dr Unit 2105, Chicago, IL",Condo for Rent,Chicago Loop,41.8865622,-87.621248
"2631 W Luther St Unit 1, Chicago, IL","$1,495","2631 W Luther St Unit 1, Chicago, IL",1 Bed,Marshall Square,41.8469547,-87.69167780000001
"30 Huron E St Unit 5510, Chicago, IL","$2,000","30 Huron E St Unit 5510, Chicago, IL",Condo for Rent,River North,41.8953761,-87.6263728
"2704 W 24th Pl Unit 1F, Chicago, IL","$1,450","2704 W 24th Pl Unit 1F, Chicago, IL",2 Bed,Marshall Square,41.8475672,-87.69321699999999
"2704 W 24th Pl Unit 1, Chicago, IL","$1,200","2704 W 24th Pl Unit 1, Chicago, IL",2 Bed,Marshall Square,41.8475672,-87.69321699999999
"1611 W Division St Unit 1, Chicago, IL","$2,695","1611 W Division St Unit 1, Chicago, IL",2 Bed,West Town,41.9031445,-87.66801819999999
"757 Wabash N Ave Unit 2-2, Chicago, IL","$3,475","757 Wabash N Ave Unit 2-2, Chicago, IL",2 Bed,River North,41.8964239,-87.6265287
"211 E Ohio St Unit 1007, Chicago, IL","$1,800","211 E Ohio St Unit 1007, Chicago, IL",Condo for Rent,Streeterville,41.8922831,-87.62142569999999
"211 E Ohio St Unit 2612, Chicago, IL","$1,800","211 E Ohio St Unit 2612, Chicago, IL",Studio,Streeterville,41.8922568,-87.6215818
"211 E Ohio St Unit 819, Chicago, IL","$2,000","211 E Ohio St Unit 819, Chicago, IL",Condo for Rent,Streeterville,41.8922831,-87.62142569999999
"211 Ohio E St Unit 1109, Chicago, IL","$1,850","211 Ohio E St Unit 1109, Chicago, IL",Condo for Rent,Streeterville,41.8922831,-87.62142569999999
"313 Albany S Ave Unit 2, Chicago, IL","$1,225","313 Albany S Ave Unit 2, Chicago, IL",2 Bed,Garfield Park,41.8768875,-87.7030376
"313 Albany S Ave Unit 1, Chicago, IL","$1,175","313 Albany S Ave Unit 1, Chicago, IL",2 Bed,Garfield Park,41.8768875,-87.7030376
"420 Waterside E Dr Unit 304, Chicago, IL","$1,700","420 Waterside E Dr Unit 304, Chicago, IL",Condo for Rent,Chicago Loop,41.8871935,-87.61611580000002
"195 N Harbor Dr Unit 2001, Chicago, IL","$2,900","195 N Harbor Dr Unit 2001, Chicago, IL",Condo for Rent,Chicago Loop,41.8856937,-87.6146613
"401 E Ontario St Unit 1606, Chicago, IL","$2,050","401 E Ontario St Unit 1606, Chicago, IL",1 Bed,Streeterville,41.8932199,-87.6168477
"1368 W Evergreen Ave Unit 4M, Chicago, IL","$2,250","1368 W Evergreen Ave Unit 4M, Chicago, IL",2 Bed,Pulaski Park,41.9064171,-87.66232430000001
"441 Ohio E St Unit 1, Chicago, IL","$1,676","441 Ohio E St Unit 1, Chicago, IL",1 Bed,Streeterville,41.892465,-87.616348
"1122 Clark N St Unit 3307, Chicago, IL","$1,650","1122 Clark N St Unit 3307, Chicago, IL",Condo for Rent,Near North,41.902675,-87.6318632
"474 N Lake Shore Dr Unit 2207, Chicago, IL","$1,600","474 N Lake Shore Dr Unit 2207, Chicago, IL",Studio,Streeterville,41.8906697,-87.614747
"343 W Old Town Ct Unit 309, Chicago, IL","$2,875","343 W Old Town Ct Unit 309, Chicago, IL",2 Bed,Near North Side,41.9051353,-87.6375096
"1124 N Dearborn St Unit 1, Chicago, IL","$1,700","1124 N Dearborn St Unit 1, Chicago, IL",1 Bed,Rush & Division,41.902579,-87.63028729999999
"175 E Delaware Pl Unit 5106, Chicago, IL","$1,560","175 E Delaware Pl Unit 5106, Chicago, IL",Studio,Streeterville,41.8989444,-87.6227945
"100 Walton E St Unit 17 G, Chicago, IL","$1,900","100 Walton E St Unit 17 G, Chicago, IL",Condo for Rent,Streeterville,41.9002461,-87.62516339999999
"871 W Blackhawk St Unit 2-2, Chicago, IL","$2,955","871 W Blackhawk St Unit 2-2, Chicago, IL",2 Bed,Goose Island,41.90853329999999,-87.6510746
"2540 Augusta W Blvd Unit 1F, Chicago, IL","$1,700","2540 Augusta W Blvd Unit 1F, Chicago, IL",2 Bed,West Town,41.8995957,-87.6910663
"1220 N LaSalle St Unit K4, Chicago, IL","$1,495","1220 N LaSalle St Unit K4, Chicago, IL",Studio,Near North Side,41.9045879,-87.63344269999999
"1220 N LaSalle Dr Unit G2, Chicago, IL","$1,425","1220 N LaSalle Dr Unit G2, Chicago, IL",Studio,Near North Side,41.9046068,-87.63340649999999
"219 E Chestnut St Unit 1/1 u, Chicago, IL","$1,835","219 E Chestnut St Unit 1/1 u, Chicago, IL",1 Bed,Streeterville,41.8981421,-87.6211268
"219 E Chestnut St Unit 1, Chicago, IL","$1,830","219 E Chestnut St Unit 1, Chicago, IL",1 Bed,Streeterville,41.8981421,-87.6211268
"1164 N Dearborn St Unit 210, Chicago, IL","$1,175","1164 N Dearborn St Unit 210, Chicago, IL",Studio,Near North,41.9031863,-87.63369
"2048 Evergreen W Ave Unit 2, Chicago, IL","$3,100","2048 Evergreen W Ave Unit 2, Chicago, IL",Condo for Rent,West Town,41.9061004,-87.67920509999999
"2048 Evergreen W Ave Unit 1, Chicago, IL","$2,300","2048 Evergreen W Ave Unit 1, Chicago, IL",1 Bed,West Town,41.9061004,-87.67920509999999
"65 Cedar E St Unit 2B, Chicago, IL","$1,400","65 Cedar E St Unit 2B, Chicago, IL",Condo for Rent,Gold Coast,41.902282,-87.625845
"834 California N Ave Unit Apt 1, Chicago, IL","$1,800","834 California N Ave Unit Apt 1, Chicago, IL",2 Bed,West Town,41.8967381,-87.69703919999999
"1220 N Dearborn St Unit 3, Chicago, IL","$1,950","1220 N Dearborn St Unit 3, Chicago, IL",2 Bed,Gold Coast,41.9046375,-87.63036319999999
"329 Schiller W St, Chicago, IL","$6,200","329 Schiller W St, Chicago, IL",Townhome for Rent,Near North Side,41.907215,-87.63759999999999
"329 Schiller W St, Chicago, IL","$6,000","329 Schiller W St, Chicago, IL",Townhome for Rent,Near North Side,41.907215,-87.63759999999999
"30 E Elm St Unit 12E, Chicago, IL","$1,835","30 E Elm St Unit 12E, Chicago, IL",1 Bed,Gold Coast,41.9033419,-87.6274881
"1221 N Dearborn St Unit 404N, Chicago, IL","$2,350","1221 N Dearborn St Unit 404N, Chicago, IL",Condo for Rent,Gold Coast,41.9046835,-87.62962639999999
"1612 Le Moyne W St Unit 3, Chicago, IL","$1,800","1612 Le Moyne W St Unit 3, Chicago, IL",2 Bed,West Town,41.9092512,-87.668223
"1255 N Sandburg Terrace Unit 1210, Chicago, IL","$2,000","1255 N Sandburg Terrace Unit 1210, Chicago, IL",Condo for Rent,Near North Side,41.9054286,-87.6319398
"30 E Division St Unit 11a, Chicago, IL","$1,700","30 E Division St Unit 11a, Chicago, IL",Condo for Rent,Gold Coast,41.9043262,-87.6273128
"1645 Pierce W Ave Unit 1, Chicago, IL","$2,195","1645 Pierce W Ave Unit 1, Chicago, IL",2 Bed,West Town,41.909615,-87.669394
"1150 Lake Shore N Dr Unit 5L, Chicago, IL","$1,450","1150 Lake Shore N Dr Unit 5L, Chicago, IL",Condo for Rent,Gold Coast,41.9037674,-87.62537090000001
"1502 Cleveland N Ave Unit #2, Chicago, IL","$1,750","1502 Cleveland N Ave Unit #2, Chicago, IL",1 Bed,Near North Side,41.909398,-87.641295
"1441 N Elk Grove Ave Unit 3R, Chicago, IL","$1,650","1441 N Elk Grove Ave Unit 3R, Chicago, IL",Condo for Rent,West Town,41.9093519,-87.67368809999999
"1519 N Milwaukee Ave Unit 1, Chicago, IL","$3,025","1519 N Milwaukee Ave Unit 1, Chicago, IL",2 Bed,West Town,41.9092668,-87.6752027
"1307 N Artesian Ave Unit 2, Chicago, IL","$2,095","1307 N Artesian Ave Unit 2, Chicago, IL",2 Bed,West Town,41.9050772,-87.6880628
"1523 N Elk Grove Ave Unit 3, Chicago, IL","$2,300","1523 N Elk Grove Ave Unit 3, Chicago, IL",3 Bed,West Town,41.9099519,-87.67465000000001
"1344 Dearborn N St Unit 4D, Chicago, IL","$1,540","1344 Dearborn N St Unit 4D, Chicago, IL",Condo for Rent,Gold Coast,41.9071442,-87.6305915
"1017 N Mozart St Unit #2, Chicago, IL","$1,850","1017 N Mozart St Unit #2, Chicago, IL",3 Bed,West Town,41.8998179,-87.69781379999999
"1347 N Dearborn Pkwy Unit 302, Chicago, IL","$1,320","1347 N Dearborn Pkwy Unit 302, Chicago, IL",Studio,Gold Coast,41.907198,-87.629864
"915 S Loomis St Unit 1, Chicago, IL","$1,550","915 S Loomis St Unit 1, Chicago, IL",2 Bed,Little Italy,41.8698843,-87.66140930000002
"1455 W Taylor St Unit 3, Chicago, IL","$3,400","1455 W Taylor St Unit 3, Chicago, IL",4 Bed,Little Italy,41.86909929999999,-87.6637776
"929 S Laflin St Unit 1, Chicago, IL","$2,275","929 S Laflin St Unit 1, Chicago, IL",3 Bed,Little Italy,41.8696425,-87.6638546
"1013 Laflin S St Unit 2, Chicago, IL","$1,700","1013 Laflin S St Unit 2, Chicago, IL",2 Bed,Little Italy,41.8688496,-87.66387449999999
"708 S Laflin St Unit 1F, Chicago, IL","$1,800","708 S Laflin St Unit 1F, Chicago, IL",2 Bed,Little Italy,41.8725044,-87.66441569999999
"706 S Laflin St Unit 2R, Chicago, IL","$1,900","706 S Laflin St Unit 2R, Chicago, IL",2 Bed,Little Italy,41.8725733,-87.6644638
"902 S Ashland Ave Unit 0s, Chicago, IL","$1,595","902 S Ashland Ave Unit 0s, Chicago, IL",Studio,Near West Side,41.8703239,-87.666968
"902 S Ashland Ave Unit 1j, Chicago, IL","$1,737","902 S Ashland Ave Unit 1j, Chicago, IL",1 Bed,Near West Side,41.8703239,-87.666968
"902 S Ashland Ave Unit 1s, Chicago, IL","$1,730","902 S Ashland Ave Unit 1s, Chicago, IL",1 Bed,Near West Side,41.8703239,-87.666968
"1224 W Van Buren St Unit 212, Chicago, IL","$3,000","1224 W Van Buren St Unit 212, Chicago, IL",Condo for Rent,West Loop,41.8768394,-87.65829629999999
"1101 W Jackson Blvd Unit S1, Chicago, IL","$1,760","1101 W Jackson Blvd Unit S1, Chicago, IL",Studio,West Loop,41.8770351,-87.6554927
"1019 W Jackson Blvd Unit 03k, Chicago, IL","$3,200","1019 W Jackson Blvd Unit 03k, Chicago, IL",Condo for Rent,West Loop,41.87753,-87.652658
"948 15th W Pl Unit 2B, Chicago, IL","$2,400","948 15th W Pl Unit 2B, Chicago, IL",Condo for Rent,Little Italy,41.861249,-87.65066
"910 W Jackson Blvd Unit 1301, Chicago, IL","$2,374","910 W Jackson Blvd Unit 1301, Chicago, IL",1 Bed,West Loop,41.8780422,-87.6499454
"816 W Van Buren St Unit 161, Chicago, IL","$3,200","816 W Van Buren St Unit 161, Chicago, IL",2 Bed,West Loop,41.876872,-87.648208
"521 N Racine Ave Unit 1, Chicago, IL","$2,400","521 N Racine Ave Unit 1, Chicago, IL",Condo for Rent,West Town,41.8917586,-87.65700989999999
"1722 W Hastings St Unit 3, Chicago, IL","$2,100","1722 W Hastings St Unit 3, Chicago, IL",Condo for Rent,Near West Side,41.8643841,-87.6697915
"1722 W Hastings St Unit 3, Chicago, IL","$2,000","1722 W Hastings St Unit 3, Chicago, IL",Condo for Rent,Near West Side,41.8643841,-87.6697915
"901 W Adams St Unit 818, Chicago, IL","$2,319","901 W Adams St Unit 818, Chicago, IL",1 Bed,West Loop,41.8789763,-87.64990399999999
"1623 S Loomis St Unit 2, Chicago, IL","$1,875","1623 S Loomis St Unit 2, Chicago, IL",2 Bed,Lower West Side,41.8589519,-87.6610911
"1244 W Monroe St Unit 10F, Chicago, IL","$3,200","1244 W Monroe St Unit 10F, Chicago, IL",Condo for Rent,West Loop,41.8806146,-87.6588245
"1137 W 17th St Unit 1, Chicago, IL","$2,800","1137 W 17th St Unit 1, Chicago, IL",4 Bed,Lower West Side,41.8585054,-87.6548954
"732 W 15th Pl Unit 1, Chicago, IL","$2,850","732 W 15th Pl Unit 1, Chicago, IL",2 Bed,Little Italy,41.8610273,-87.6467327
"1615 S Morgan St Unit 1R, Chicago, IL","$1,500","1615 S Morgan St Unit 1R, Chicago, IL",2 Bed,Lower West Side,41.859356,-87.6505899
"1946 S Racine Ave Unit 4F, Chicago, IL","$2,395","1946 S Racine Ave Unit 4F, Chicago, IL",3 Bed,Lower West Side,41.8551838,-87.65661419999999
"26 S Aberdeen St Unit 1, Chicago, IL","$4,600","26 S Aberdeen St Unit 1, Chicago, IL",Condo for Rent,West Loop,41.8808781,-87.6553199
"233 S Halsted St Unit 98-3301, Chicago, IL","$5,492","233 S Halsted St Unit 98-3301, Chicago, IL",3 Bed,West Loop,41.8782383,-87.6470729
"1515 S Halsted St Unit 205, Chicago, IL","$1,799","1515 S Halsted St Unit 205, Chicago, IL",Condo for Rent,Little Italy,41.86101,-87.646385
"1509 S Halsted St Unit 306, Chicago, IL","$1,750","1509 S Halsted St Unit 306, Chicago, IL",Condo for Rent,Little Italy,41.8610097,-87.64638479999999
"1219 W Madison St Unit 1050, Chicago, IL","$3,350","1219 W Madison St Unit 1050, Chicago, IL",2 Bed,West Loop,41.8813422,-87.6580355
"200 S Halsted St Unit 2008, Chicago, IL","$1,837","200 S Halsted St Unit 2008, Chicago, IL",Studio,West Loop,41.8789658,-87.6475537
"1131 W Madison St Unit 1, Chicago, IL","$1,975","1131 W Madison St Unit 1, Chicago, IL",1 Bed,West Loop,41.881515,-87.6555314
"835 S Wolcott Ave Unit 4, Chicago, IL","$3,200","835 S Wolcott Ave Unit 4, Chicago, IL",3 Bed,Near West Side,41.87060719999999,-87.67341429999999
"700 W Van Buren St Unit PH-03, Chicago, IL","$3,000","700 W Van Buren St Unit PH-03, Chicago, IL",Condo for Rent,West Loop,41.8769207,-87.6442776
"1819 S Allport St Unit 1R, Chicago, IL","$1,400","1819 S Allport St Unit 1R, Chicago, IL",2 Bed,Lower West Side,41.8573162,-87.65736
"333 S Desplaines St Unit #412, Chicago, IL","$2,400","333 S Desplaines St Unit #412, Chicago, IL",Condo for Rent,West Loop,41.877112,-87.6435491
"1838 S May St Unit 2F, Chicago, IL","$1,250","1838 S May St Unit 2F, Chicago, IL",2 Bed,Lower West Side,41.8568097,-87.65504750000001
"210 S Desplaines St Unit 15044, Chicago, IL","$2,100","210 S Desplaines St Unit 15044, Chicago, IL",Condo for Rent,West Loop,41.8789423,-87.6445088
