Title,Price,Address,Beds,Neighborhood,Latitude,Longitude
"800 S Michigan Ave Unit 4104, Chicago, IL","$1,960","800 S Michigan Ave Unit 4104, Chicago, IL",1 Bed,Chicago Loop,41.8717202,-87.62458099999999
"800 S Michigan Ave Unit 3406, Chicago, IL","$2,305","800 S Michigan Ave Unit 3406, Chicago, IL",1 Bed,Chicago Loop,41.8717202,-87.62458099999999
"1345 S Wabash Ave Unit 1202, Chicago, IL","$2,200","1345 S Wabash Ave Unit 1202, Chicago, IL",Condo for Rent,Near South Side,41.8644171,-87.6254821
"519 N Hartland Ct, Chicago, IL","$4,995","519 N Hartland Ct, Chicago, IL",Townhome for Rent,West Town,41.8915506,-87.67103619999999
"500 N Kingsbury St Unit 2302, Chicago, IL","$2,199","500 N Kingsbury St Unit 2302, Chicago, IL",1 Bed,River North,41.89011259999999,-87.6392292
"1120 S Michigan Ave Unit 2810, Chicago, IL","$1,915","1120 S Michigan Ave Unit 2810, Chicago, IL",1 Bed,Chicago Loop,41.868863,-87.62456600000002
"22 S Western Ave Unit 301F, Chicago, IL","$1,900","22 S Western Ave Unit 301F, Chicago, IL",Condo for Rent,Near West Side,41.88052190000001,-87.6866988
"1319 S Michigan Ave Unit 3702, Chicago, IL","$2,300","1319 S Michigan Ave Unit 3702, Chicago, IL",1 Bed,Near South Side,41.8652265,-87.6239057
"354 W Hubbard St Unit 506, Chicago, IL","$2,302","354 W Hubbard St Unit 506, Chicago, IL",1 Bed,River North,41.8901676,-87.63782379999999
"354 W Hubbard St Unit 80-2, Chicago, IL","$3,887","354 W Hubbard St Unit 80-2, Chicago, IL",2 Bed,River North,41.8901676,-87.63782379999999
"354 W Hubbard St Unit 107, Chicago, IL","$3,416","354 W Hubbard St Unit 107, Chicago, IL",1 Bed,River North,41.8901676,-87.63782379999999
"50 W Randolph St Unit 706, Chicago, IL","$1,695","50 W Randolph St Unit 706, Chicago, IL",1 Bed,Chicago Loop,41.8846517,-87.6299401
"2541 W Congress Pkwy Unit 1, Chicago, IL","$2,000","2541 W Congress Pkwy Unit 1, Chicago, IL",2 Bed,Tri-Taylor,41.8748267,-87.6902974
"669 N Peoria St Unit GS, Chicago, IL","$2,500","669 N Peoria St Unit GS, Chicago, IL",Condo for Rent,West Town,41.8942459,-87.64982959999999
"711 N Milwaukee Ave Unit PH, Chicago, IL","$8,000","711 N Milwaukee Ave Unit PH, Chicago, IL",Condo for Rent,West Town,41.894664,-87.652616
